misheard,correction,faiss_index
endodentics,endodontist,350
endo dontist,endodontist,510
end dentist,endodontist,553
endodontist,endodontist,550
end don test,endodontist,521
endodonics,endodontist,373
endo dent,endodontist,316
endo test,endodontist,558
endo dont,endodontist,539
end donics,endodontist,262
first name,first name,520
fast name,first name,560
first in,first name,98
firs name,first name,176
fist name,first name,317
furst name,first name,351
first nane,first name,230
first noon,first name,279
free you see,frequency,54
free wen see,frequency,70
freq wen see,frequency,109
free u see,frequency,24
frequincy,frequency,172
freq u see,frequency,58
freakwency,frequency,107
freq you see,frequency,148
frequency see,frequency,95
freq see,frequency,120
free won see,frequency,315
free quincy,frequency,261
free quency,frequency,420
freak when see,frequency,55
freq won see,frequency,280
freq one see,frequency,32
free quan see,frequency,185
free when see,frequency,101
freequency,frequency,359
freq when see,frequency,282
freqwency limitations,frequency limitations,517
fre quency limit,frequency limitations,469
freakwency limitations,frequency limitations,372
freq. limitations,frequency limitations,514
frequent limit,frequency limitations,471
freq see limitations,frequency limitations,470
frequincy limit,frequency limitations,530
frequent times,frequency limitations,19
frequency limit,frequency limitations,568
frequency limitations,frequency limitations,535
freqency limit,frequency limitations,552
grope number,group number,445
group numer,group number,555
group numbers,group number,569
group none,group number,570
group member,group number,313
group nun,group number,527
group num,group number,559
group numb,group number,506
group number,group number,566
groove number,group number,363
group no,group number,541
insurance pro rider,insurance provider,502
insurance provender,insurance provider,433
insurance provideo,insurance provider,240
insurance proviser,insurance provider,438
ensurance provider,insurance provider,402
insurance privider,insurance provider,90
insureance provider,insurance provider,441
ensure provider,insurance provider,396
insurance providerer,insurance provider,449
insurance provyda,insurance provider,226
insurants provider,insurance provider,353
insurance provodder,insurance provider,184
insurance provider,insurance provider,345
last meme,last name,385
lost name,last name,524
last nein,last name,562
sirnaym,last name,63
sure name,last name,549
surname,last name,435
last surname,last name,547
last naan,last name,343
last naim,last name,157
last name,last name,516
sir name,last name,526
major coverage,major coverage,51
major carve,major coverage,106
major coverage age,major coverage,417
major courage,major coverage,269
mayjer coverage,major coverage,88
mager cov,major coverage,245
major cuvrage,major coverage,34
major cover edge,major coverage,348
major cov rage,major coverage,528
major curr age,major coverage,155
major cave,major coverage,112
major cuvv,major coverage,296
major care,major coverage,119
major core,major coverage,214
major cov,major coverage,216
major case,major coverage,59
mager coverage,major coverage,192
mayor coverage,major coverage,215
major covrage,major coverage,64
major curage,major coverage,26
major cove,major coverage,229
major curse,major coverage,466
major curr,major coverage,199
member hide,member id,448
member i'd,member id,357
mem bird id,member id,434
membership id,member id,474
memory id,member id,522
memo id,member id,447
mem-er id,member id,537
member id,member id,287
member eye dee,member id,117
missing truth,missing tooth clause,178
missing toth,missing tooth clause,121
miss tooth,missing tooth clause,179
missing teeth,missing tooth clause,281
miss teeth,missing tooth clause,193
missing tooth cause,missing tooth clause,422
missing clause,missing tooth clause,227
miss teeth close,missing tooth clause,421
missing tooth claws,missing tooth clause,374
missing truth claws,missing tooth clause,202
missing tooth close,missing tooth clause,377
missing truth close,missing tooth clause,365
missing toth close,missing tooth clause,426
missing teeth close,missing tooth clause,424
missing truth laws,missing tooth clause,481
missing toth laws,missing tooth clause,232
miss tooth laws,missing tooth clause,410
missing tooths clause,missing tooth clause,177
missing tooths claws,missing tooth clause,360
missing tooths,missing tooth clause,333
missing tooth laws,missing tooth clause,415
miss tooth close,missing tooth clause,362
missing-tooth clause,missing tooth clause,175
missing tooth clause,missing tooth clause,201
missing teeth clause,missing tooth clause,125
missing truth clause,missing tooth clause,286
perio dentist,periodontics,473
period dent,periodontics,238
perio dent,periodontics,196
peri dental,periodontics,419
period dental,periodontics,428
perry dental,periodontics,338
perio dental,periodontics,497
perio donntic,periodontics,187
peridontist,periodontics,554
period test,periodontics,482
perio test,periodontics,487
perry dentist,periodontics,379
peri dontics,periodontics,302
perry dontics,periodontics,134
period don test,periodontics,356
perry don test,periodontics,312
perio dontist,periodontics,234
perry dentics,periodontics,322
periodonics,periodontics,44
perry test,periodontics,314
perry dentist,periodontics coverage,379
paradontics coverage,periodontics coverage,218
perio dontics coverage,periodontics coverage,294
perio coverage,periodontics coverage,210
period-dontics coverage,periodontics coverage,344
period don coverage,periodontics coverage,418
periodontics coverage,periodontics coverage,131
perry dontics coverage,periodontics coverage,236
period dental coverage,periodontics coverage,472
plan tipe,plan type,132
plain type,plan type,149
plan tape,plan type,295
plan tyep,plan type,81
plant time,plan type,439
plain time,plan type,355
plan timing,plan type,298
plain tap,plan type,276
plan type,plan type,265
plan typo,plan type,319
plant type,plan type,548
plan tiep,plan type,150
plan tiype,plan type,33
plan-tape,plan type,242
plan typed,plan type,118
plane time,plan type,551
plant ype,plan type,257
plan typ,plan type,74
plan timed,plan type,241
plan time,plan type,237
pln type,plan type,484
plane type,plan type,337
plan typeing,plan type,318
pre author rice,pre-authorization,122
pre auth wise,pre-authorization,141
pre auth rise,pre-authorization,274
pre auth nice,pre-authorization,137
pre auth ice,pre-authorization,163
pre auth eyes,pre-authorization,305
pre auth,pre-authorization,129
pre otheration,pre-authorization,23
pre altherization,pre-authorization,85
pre auth risen,pre-authorization,140
pre auth ties,pre-authorization,311
pre author,pre-authorization,189
pre authored,pre-authorization,97
pre author nice,pre-authorization,138
pre author ice,pre-authorization,114
pre author wise,pre-authorization,80
pre author rise,pre-authorization,247
pre authorize,pre-authorization,222
pre author eyes,pre-authorization,252
pre author ties,pre-authorization,404
pre authorization clause,pre-authorization requirements,209
pre-authorization needs,pre-authorization requirements,219
pre author ties,pre-authorization requirements,404
pre-auth wise,pre-authorization requirements,164
pre authorized requirements,pre-authorization requirements,159
pre auth nice,pre-authorization requirements,137
pre auth ice,pre-authorization requirements,163
pre auth eyes,pre-authorization requirements,305
pre authored,pre-authorization requirements,97
pre author rise,pre-authorization requirements,247
pre authorized,pre-authorization requirements,100
pre author,pre-authorization requirements,189
pre authorisation,pre-authorization requirements,91
pre auth risen,pre-authorization requirements,140
pre otheration,pre-authorization requirements,23
pre-auth,pre-authorization requirements,102
pre authorization,pre-authorization requirements,127
pre-authorization requirements,pre-authorization requirements,243
pre auth rise,pre-authorization requirements,274
pre-auth requirements,pre-authorization requirements,208
pre authorized tie,pre-authorization requirements,284
pre-author rise,pre-authorization requirements,430
prevent cuvrage,preventative,239
preventative,preventative,27
preventive courage,preventative,213
preventiv,preventative,71
preventave,preventative,69
prevent cov,preventative,354
preventetive care,preventative,115
prevetative,preventative,10
prevent active,preventative,335
prevent coverage,preventative,256
preventetive,preventative,21
prevent cover,preventative,483
prevent of,preventative,181
prevenative,preventative,40
prevent tive,preventative,161
prevent ative,preventative,57
prevent a tive,preventative,171
prevent ate,preventative,392
prevent cov edge,preventative,454
prevent cov rage,preventative,529
preventive care,preventive coverage,65
preventive courage,preventive coverage,213
preventative coverage,preventive coverage,200
preventing coverage,preventive coverage,285
preventive coverage,preventive coverage,166
preventive cure-age,preventive coverage,206
prevent coverage,preventive coverage,256
preventative courage,preventive coverage,182
prevent coverage age,preventive coverage,477
preventive service,preventive coverage,66
pro seat your code,procedure code,494
pro cede your code,procedure code,523
procedure name,procedure code,501
pro seed your chord,procedure code,405
procedure mode,procedure code,334
process code,procedure code,456
pro seed your code,procedure code,509
pro cedar code,procedure code,503
procedural code,procedure code,260
procedure nane,procedure code,111
procedure main,procedure code,151
procedural name,procedure code,323
pro seat your name,procedure code,429
pro cedar name,procedure code,485
pro seed your name,procedure code,431
proceed your code,procedure code,38
process name,procedure code,563
pro seed your mane,procedure code,347
procedure naym,procedure code,31
procedure neem,procedure code,47
pro cedar naym,procedure code,382
procedure cored,procedure code,87
procedure cold,procedure code,259
procedure code,procedure code,436
proceed your name,procedure code,203
procedure chord,procedure code,108
remaining maximim,remaining maximum,204
remainin maximum,remaining maximum,384
remaining miximums,remaining maximum,99
remaining maximums,remaining maximum,389
remeining max,remaining maximum,325
remaning maximam,remaining maximum,168
remaning maximum,remaining maximum,264
remaing miximum,remaining maximum,250
remaing maximum,remaining maximum,401
remaining max,remaining maximum,425
remaining axis,remaining maximum,309
static,status,116
state this,status,0
start is,status,62
state us,status,154
stat is,status,78
states,status,349
start this,status,7
state is,status,92
statist,status,546
stats us,status,307
stattus,status,330
statues,status,104
stats,status,170
stated us,status,2
start us,status,8
statue us,status,67
stat us,status,145
stet us,status,84
status us,status,303
statis,status,180
waiting pure,waiting period,308
waiting pure iod,waiting period,491
wait pier,waiting period,409
weight period,waiting period,465
waiting pear iod,waiting period,467
waiting peri,waiting period,49
waiting poor,waiting period,46
waiting limit,waiting period,515
wait in pier,waiting period,380
weight in period,waiting period,437
waiting periods,waiting period,231
waiting peariod,waiting period,29
wait time,waiting period,393
waiting peer iod,waiting period,399
waiting pieriod,waiting period,158
waiting time,waiting period,233
waiting peeriod,waiting period,76
waiting period,waiting period,86
weighting period,waiting period,406
wating period,waiting period,460
wait period,waiting period,153
waiting pier,waiting period,329
waiting peer,waiting period,152
waiting pear,waiting period,407
waiting pere,waiting period,89
waiting pier iod,waiting period,342
wait in period,waiting period,336
