misheard,correction,context
group num,group number,insurance verification
group numb,group number,insurance verification
group number,group number,insurance verification
groove number,group number,insurance verification
group no,group number,insurance verification
insurance pro rider,insurance provider,patient information
insurance provender,insurance provider,patient information
insurance provideo,insurance provider,patient information
insurance proviser,insurance provider,patient information
ensurance provider,insurance provider,patient information
insurance privider,insurance provider,patient information
insureance provider,insurance provider,patient information
ensure provider,insurance provider,patient information
insurance providerer,insurance provider,patient information
insurance provyda,insurance provider,patient information
insurants provider,insurance provider,patient information
insurance provodder,insurance provider,patient information
insurance provider,insurance provider,patient information
last meme,last name,patient information
lost name,last name,patient information
last nein,last name,patient information
sirnaym,last name,patient information
sure name,last name,patient information
surname,last name,patient information
last surname,last name,patient information
last naan,last name,patient information
last naim,last name,patient information
last name,last name,patient information
sir name,last name,patient information
major coverage,major coverage,insurance verification
major carve,major coverage,insurance verification
major coverage age,major coverage,insurance verification
major courage,major coverage,insurance verification
mayjer coverage,major coverage,insurance verification
mager cov,major coverage,insurance verification
major cuvrage,major coverage,insurance verification
major cover edge,major coverage,insurance verification
major cov rage,major coverage,insurance verification
major curr age,major coverage,insurance verification
major cave,major coverage,insurance verification
major cuvv,major coverage,insurance verification
major care,major coverage,insurance verification
major core,major coverage,insurance verification
major cov,major coverage,insurance verification
major case,major coverage,insurance verification
mager coverage,major coverage,insurance verification
mayor coverage,major coverage,insurance verification
major covrage,major coverage,insurance verification
major curage,major coverage,insurance verification
major cove,major coverage,insurance verification
major curse,major coverage,insurance verification
major curr,major coverage,insurance verification
member hide,member id,patient information
member i'd,member id,patient information
mem bird id,member id,patient information
membership id,member id,patient information
memory id,member id,patient information
memo id,member id,patient information
mem-er id,member id,patient information
member id,member id,patient information
member eye dee,member id,patient information
missing truth,missing tooth clause,insurance verification
missing toth,missing tooth clause,insurance verification
miss tooth,missing tooth clause,insurance verification
missing teeth,missing tooth clause,insurance verification
miss teeth,missing tooth clause,insurance verification
missing tooth cause,missing tooth clause,insurance verification
missing clause,missing tooth clause,insurance verification
miss teeth close,missing tooth clause,insurance verification
missing tooth claws,missing tooth clause,insurance verification
missing truth claws,missing tooth clause,insurance verification
missing tooth close,missing tooth clause,insurance verification
missing truth close,missing tooth clause,insurance verification
missing toth close,missing tooth clause,insurance verification
missing teeth close,missing tooth clause,insurance verification
missing truth laws,missing tooth clause,insurance verification
missing toth laws,missing tooth clause,insurance verification
miss tooth laws,missing tooth clause,insurance verification
missing tooths clause,missing tooth clause,insurance verification
missing tooths claws,missing tooth clause,insurance verification
missing tooths,missing tooth clause,insurance verification
missing tooth laws,missing tooth clause,insurance verification
miss tooth close,missing tooth clause,insurance verification
missing-tooth clause,missing tooth clause,insurance verification
missing tooth clause,missing tooth clause,insurance verification
missing teeth clause,missing tooth clause,insurance verification
missing truth clause,missing tooth clause,insurance verification
perio dentist,periodontics,insurance verification
period dent,periodontics,insurance verification
perio dent,periodontics,insurance verification
peri dental,periodontics,insurance verification
period dental,periodontics,insurance verification
perry dental,periodontics,insurance verification
perio dental,periodontics,insurance verification
perio donntic,periodontics,insurance verification
peridontist,periodontics,insurance verification
period test,periodontics,insurance verification
perio test,periodontics,insurance verification
perry dentist,periodontics,insurance verification
peri dontics,periodontics,insurance verification
perry dontics,periodontics,insurance verification
period don test,periodontics,insurance verification
perry don test,periodontics,insurance verification
perio dontist,periodontics,insurance verification
perry dentics,periodontics,insurance verification
periodonics,periodontics,insurance verification
perry test,periodontics,insurance verification
perry dentist,periodontics coverage,insurance verification
paradontics coverage,periodontics coverage,insurance verification
perio dontics coverage,periodontics coverage,insurance verification
perio coverage,periodontics coverage,insurance verification
period-dontics coverage,periodontics coverage,insurance verification
period don coverage,periodontics coverage,insurance verification
periodontics coverage,periodontics coverage,insurance verification
perry dontics coverage,periodontics coverage,insurance verification
period dental coverage,periodontics coverage,insurance verification
plan tipe,plan type,insurance verification
plain type,plan type,insurance verification
plan tape,plan type,insurance verification
plan tyep,plan type,insurance verification
plant time,plan type,insurance verification
plain time,plan type,insurance verification
plan timing,plan type,insurance verification
plain tap,plan type,insurance verification
plan type,plan type,insurance verification
plan typo,plan type,insurance verification
plant type,plan type,insurance verification
plan tiep,plan type,insurance verification
plan tiype,plan type,insurance verification
plan-tape,plan type,insurance verification
plan typed,plan type,insurance verification
plane time,plan type,insurance verification
plant ype,plan type,insurance verification
plan typ,plan type,insurance verification
plan timed,plan type,insurance verification
plan time,plan type,insurance verification
pln type,plan type,insurance verification
plane type,plan type,insurance verification
plan typeing,plan type,insurance verification
pre author rice,pre-authorization,insurance verification
pre auth wise,pre-authorization,insurance verification
pre auth rise,pre-authorization,insurance verification
pre auth nice,pre-authorization,insurance verification
pre auth ice,pre-authorization,insurance verification
pre auth eyes,pre-authorization,insurance verification
pre auth,pre-authorization,insurance verification
pre otheration,pre-authorization,insurance verification
pre altherization,pre-authorization,insurance verification
pre auth risen,pre-authorization,insurance verification
pre auth ties,pre-authorization,insurance verification
pre author,pre-authorization,insurance verification
pre authored,pre-authorization,insurance verification
pre author nice,pre-authorization,insurance verification
pre author ice,pre-authorization,insurance verification
pre author wise,pre-authorization,insurance verification
pre author rise,pre-authorization,insurance verification
pre authorize,pre-authorization,insurance verification
pre author eyes,pre-authorization,insurance verification
pre author ties,pre-authorization,insurance verification
pre authorization clause,pre-authorization requirements,insurance verification
pre-authorization needs,pre-authorization requirements,insurance verification
pre author ties,pre-authorization requirements,insurance verification
pre-auth wise,pre-authorization requirements,insurance verification
pre authorized requirements,pre-authorization requirements,insurance verification
pre auth nice,pre-authorization requirements,insurance verification
pre auth ice,pre-authorization requirements,insurance verification
pre auth eyes,pre-authorization requirements,insurance verification
pre authored,pre-authorization requirements,insurance verification
pre author rise,pre-authorization requirements,insurance verification
pre authorized,pre-authorization requirements,insurance verification
pre author,pre-authorization requirements,insurance verification
pre authorisation,pre-authorization requirements,insurance verification
pre auth risen,pre-authorization requirements,insurance verification
pre otheration,pre-authorization requirements,insurance verification
pre-auth,pre-authorization requirements,insurance verification
pre authorization,pre-authorization requirements,insurance verification
pre-authorization requirements,pre-authorization requirements,insurance verification
pre auth rise,pre-authorization requirements,insurance verification
pre-auth requirements,pre-authorization requirements,insurance verification
pre authorized tie,pre-authorization requirements,insurance verification
pre-author rise,pre-authorization requirements,insurance verification
prevent cuvrage,preventative,insurance verification
preventative,preventative,insurance verification
preventive courage,preventative,insurance verification
preventiv,preventative,insurance verification
preventave,preventative,insurance verification
prevent cov,preventative,insurance verification
preventetive care,preventative,insurance verification
prevetative,preventative,insurance verification
prevent active,preventative,insurance verification
prevent coverage,preventative,insurance verification
preventetive,preventative,insurance verification
prevent cover,preventative,insurance verification
prevent of,preventative,insurance verification
prevenative,preventative,insurance verification
prevent tive,preventative,insurance verification
prevent ative,preventative,insurance verification
prevent a tive,preventative,insurance verification
prevent ate,preventative,insurance verification
prevent cov edge,preventative,insurance verification
prevent cov rage,preventative,insurance verification
preventive care,preventive coverage,insurance verification
preventive courage,preventive coverage,insurance verification
preventative coverage,preventive coverage,insurance verification
preventing coverage,preventive coverage,insurance verification
preventive coverage,preventive coverage,insurance verification
preventive cure-age,preventive coverage,insurance verification
prevent coverage,preventive coverage,insurance verification
preventative courage,preventive coverage,insurance verification
prevent coverage age,preventive coverage,insurance verification
preventive service,preventive coverage,insurance verification
pro seat your code,procedure code,insurance verification
pro cede your code,procedure code,insurance verification
procedure name,procedure code,insurance verification
pro seed your chord,procedure code,insurance verification
procedure mode,procedure code,insurance verification
process code,procedure code,insurance verification
pro seed your code,procedure code,insurance verification
pro cedar code,procedure code,insurance verification
procedural code,procedure code,insurance verification
procedure nane,procedure code,insurance verification
procedure main,procedure code,insurance verification
procedural name,procedure code,insurance verification
pro seat your name,procedure code,insurance verification
pro cedar name,procedure code,insurance verification
pro seed your name,procedure code,insurance verification
proceed your code,procedure code,insurance verification
process name,procedure code,insurance verification
pro seed your mane,procedure code,insurance verification
procedure naym,procedure code,insurance verification
procedure neem,procedure code,insurance verification
pro cedar naym,procedure code,insurance verification
procedure cored,procedure code,insurance verification
procedure cold,procedure code,insurance verification
procedure code,procedure code,insurance verification
proceed your name,procedure code,insurance verification
procedure chord,procedure code,insurance verification
remaining maximim,remaining maximum,insurance verification
remainin maximum,remaining maximum,insurance verification
remaining miximums,remaining maximum,insurance verification
remaining maximums,remaining maximum,insurance verification
remeining max,remaining maximum,insurance verification
remaning maximam,remaining maximum,insurance verification
remaning maximum,remaining maximum,insurance verification
remaing miximum,remaining maximum,insurance verification
remaing maximum,remaining maximum,insurance verification
remaining max,remaining maximum,insurance verification
remaining axis,remaining maximum,insurance verification
static,status,insurance verification
state this,status,insurance verification
start is,status,insurance verification
state us,status,insurance verification
stat is,status,insurance verification
states,status,insurance verification
start this,status,insurance verification
state is,status,insurance verification
statist,status,insurance verification
stats us,status,insurance verification
stattus,status,insurance verification
statues,status,insurance verification
stats,status,insurance verification
stated us,status,insurance verification
start us,status,insurance verification
statue us,status,insurance verification
stat us,status,insurance verification
stet us,status,insurance verification
status us,status,insurance verification
statis,status,insurance verification
waiting pure,waiting period,insurance verification
waiting pure iod,waiting period,insurance verification
wait pier,waiting period,insurance verification
weight period,waiting period,insurance verification
waiting pear iod,waiting period,insurance verification
waiting peri,waiting period,insurance verification
waiting poor,waiting period,insurance verification
waiting limit,waiting period,insurance verification
wait in pier,waiting period,insurance verification
weight in period,waiting period,insurance verification
waiting periods,waiting period,insurance verification
waiting peariod,waiting period,insurance verification
wait time,waiting period,insurance verification
waiting peer iod,waiting period,insurance verification
waiting pieriod,waiting period,insurance verification
waiting time,waiting period,insurance verification
waiting peeriod,waiting period,insurance verification
waiting period,waiting period,insurance verification
weighting period,waiting period,insurance verification
wating period,waiting period,insurance verification
wait period,waiting period,insurance verification
waiting pier,waiting period,insurance verification
waiting peer,waiting period,insurance verification
waiting pear,waiting period,insurance verification
waiting pere,waiting period,insurance verification
waiting pier iod,waiting period,insurance verification
wait in period,waiting period,insurance verification
data bot,date of birth,patient information
person name,patient name,patient information
personal name,patient name,patient information
person nane,patient name,patient information
patron name,patient name,patient information
passion name,patient name,patient information
pension name,patient name,patient information
person lane,patient name,patient information
perception name,patient name,patient information
pattern name,patient name,patient information
percent name,patient name,patient information
part name,patient name,patient information
patient fame,patient name,patient information
potion name,patient name,patient information
person aim,patient name,patient information
person main,patient name,patient information
patient lane,patient name,patient information
patient same,patient name,patient information
piercing name,patient name,patient information
pacing name,patient name,patient information
partisan name,patient name,patient information
patient data board,date of birth,patient information
deductible has been made ,deductible has been met,insurance verification
"patient, data birth",date of birth,patient information
"patient, did above",patient date of birth,patient information
what do you like to wear, what do you like to verify,insurance verification
data coverage,date of coverage,insurance verification
piece of data about,patient date of birth,patient information
PPull Plan,PPO Plan,insurance verification
person did a bot,patient date of birth,patient information
patient is eligible and act,patient is eligible and active,insurance verification
what do you like to bet,what do you like to verify,patient information
how can assist,how can I assist,patient information
how me help you,how may I help you,patient information
how can eye helb you,how can I help you,patient information
how ken I assist,how can I assist,patient information
wad can I do,what can I do,patient information
how would eye be off help,how would I be of help,patient information
haw may I help,how may I help,patient information
hew can I assist,how can I assist,patient information
what purpus of call,what's the purpose of your call,patient information
why you call tudey,why do you call today,patient information
wat brings you hier,what brings you here,patient information
howmay I help,how may I help,patient information
whatcan I do,what can I do,patient information
howcan I assist,how can I assist,patient information
whatbrings you here,what brings you here,patient information
whyou call today,why do you call today,patient information
how I can helping,how can I help,patient information
what purpose you calling,what's the purpose of your call,patient information
why calling today,why do you call today,patient information
how to help you,how can I help you,patient information
what you need help,what help do you need,patient information
purpose of you calling,what's the purpose of your call,patient information
how do helping you,how can I help you,patient information
'ow can I 'elp,how can I help,patient information
wot can I do,what can I do,patient information
how kin I help ye,how can I help you,patient information
whit brings ye here,what brings you here,patient information
why ye call the day,why do you call today,patient information
howkin eye halp,how can I help,patient information
wadda you need halp with,what do you need help with,patient information
wots da purpose,what's the purpose,patient information
how me can halping you,how can I help you,patient information
why you make call tudey,why do you call today,patient information
what do you like to wet,what do you like to verify,patient information
what do you like to vet,what do you like to verify,patient information
what do you want to very fire,what do you want to verify,patient information
what you need to very fly,what do you need to verify,patient information
what do you like to ferry,what do you like to verify,patient information
what needs to be refined,what needs to be verified,patient information
shore what do you need,sure what do you need,patient information
shirley we can help,surely we can help,patient information
certainly can do that,"certainly, I can do that",patient information
certly what you need,certainly what do you need,patient information
sure thing what you want,sure thing what do you want,patient information
shorely we can check,surely we can check,patient information
of cores what to check,of course what to check,patient information
off course what you need,of course what do you need,patient information
a course we can help,of course we can help,patient information
course what to verify,of course what to verify,patient information
of coarse what needed,of course what's needed,patient information
what like you to verify,what would you like to verify,patient information
verify what you like,what would you like to verify,patient information
to verify what you need,what do you need to verify,patient information
you like what verify,what do you like to verify,patient information
what verify you want,what do you want to verify,patient information
shore what like to vet,sure what would you like to verify,patient information
course what you very fly,of course what do you need to verify,patient information
certly need to wet,certainly need to verify,patient information
show what verify need,sure what needs to be verified,patient information
can helping what to vet,can help with what to verify,patient information
yes let me know wet,yes let me know what,patient information
yeah what you checking,yes what are you checking,patient information
okay what we looking,okay what are we looking for,patient information
can do what need check,can do what needs checking,patient information
let's see what verify,let's see what to verify,patient information
aye what ye need check,yes what do you need to check,patient information
right what needs verified,right what needs to be verified,patient information
yep what we checkin,yes what are we checking,patient information
sure ting what verify,sure thing what to verify,patient information
go ahead what check,go ahead what to check,patient information
"sure, what do you like very high?","sure, what do you like to verify?",patient information
percent data buff,patient date of birth,patient information
Can you provide me paste and data board please?,can you provide me patient date of birth please?,patient information
remember I did,member id,patient information
patient is talosable and active,patient is eligible and active,insurance verification
patient better worth,patient date of birth,patient information
"of course, what the inactive will?","of course, what do you like to verify?",patient information
what can I do?,How may I help you?,patient information
person has pp or plan,patient has PPO plan,insurance verification
bamer ID,member id,patient information
talogible and active,eligible and active,insurance verification
